location;date;total_cases_per_million;new_cases_per_million;total_deaths_per_million;new_deaths_per_million;cardiovasc_death_rate;hospital_beds_per_thousand;life_expectancy;human_development_index
Ecuador;11/10/2020;8333,758;11,619;690,98;0,17;140,448;1,5;77,01;0,759
Ecuador;12/10/2020;8349,742;15,984;692,51;1,53;140,448;1,5;77,01;0,759
Ecuador;13/10/2020;8398,26;48,518;693,474;0,964;140,448;1,5;77,01;0,759
Ecuador;14/10/2020;8449,951;51,692;695,118;1,644;140,448;1,5;77,01;0,759
Ecuador;15/10/2020;8522,331;72,38;697,498;2,381;140,448;1,5;77,01;0,759
Ecuador;16/10/2020;8595,958;73,627;700,389;2,891;140,448;1,5;77,01;0,759
Ecuador;17/10/2020;8639,204;43,246;701,409;1,02;140,448;1,5;77,01;0,759
Ecuador;18/10/2020;8688,345;49,141;702,089;0,68;140,448;1,5;77,01;0,759
Ecuador;19/10/2020;8695,941;7,595;702,543;0,453;140,448;1,5;77,01;0,759
Ecuador;20/10/2020;8735,163;39,222;703,053;0,51;140,448;1,5;77,01;0,759
Ecuador;21/10/2020;8820,749;85,586;705,83;2,777;140,448;1,5;77,01;0,759
Ecuador;22/10/2020;8867,566;46,817;708,494;2,664;140,448;1,5;77,01;0,759
Ecuador;23/10/2020;8970,666;103,1;710,081;1,587;140,448;1,5;77,01;0,759
Ecuador;24/10/2020;9046,843;76,177;710,874;0,794;140,448;1,5;77,01;0,759
Ecuador;25/10/2020;9161,393;114,549;711,498;0,623;140,448;1,5;77,01;0,759
Ecuador;26/10/2020;9192,17;30,777;712,631;1,134;140,448;1,5;77,01;0,759
Ecuador;27/10/2020;9249,643;57,473;713,482;0,85;140,448;1,5;77,01;0,759
Ecuador;28/10/2020;9346,905;97,262;714,615;1,134;140,448;1,5;77,01;0,759
Ecuador;29/10/2020;9425,916;79,011;715,409;0,794;140,448;1,5;77,01;0,759
Ecuador;30/10/2020;9473,81;47,894;715,976;0,567;140,448;1,5;77,01;0,759
Ecuador;31/10/2020;9533,04;59,23;718,129;2,154;140,448;1,5;77,01;0,759
Ecuador;01/11/2020;9589,833;56,793;718,923;0,794;140,448;1,5;77,01;0,759
Ecuador;02/11/2020;9610,691;20,858;719,376;0,453;140,448;1,5;77,01;0,759
Ecuador;03/11/2020;9641,751;31,06;719,716;0,34;140,448;1,5;77,01;0,759
Ecuador;04/11/2020;9716,738;74,987;720,056;0,34;140,448;1,5;77,01;0,759
Ecuador;05/11/2020;9736,576;19,838;721,53;1,474;140,448;1,5;77,01;0,759
Ecuador;06/11/2020;9777,669;41,093;723,287;1,757;140,448;1,5;77,01;0,759
Ecuador;07/11/2020;9833,102;55,433;726,348;3,061;140,448;1,5;77,01;0,759
Ecuador;08/11/2020;9913,643;80,542;727,198;0,85;140,448;1,5;77,01;0,759
Ecuador;09/11/2020;9934,161;20,518;727,708;0,51;140,448;1,5;77,01;0,759
Ecuador;10/11/2020;9959,213;25,052;728,275;0,567;140,448;1,5;77,01;0,759
Ecuador;11/11/2020;10011,302;52,088;732,299;4,024;140,448;1,5;77,01;0,759
Ecuador;12/11/2020;10061,35;50,048;733,773;1,474;140,448;1,5;77,01;0,759
Ecuador;13/11/2020;10127,155;65,805;735,53;1,757;140,448;1,5;77,01;0,759
Ecuador;14/11/2020;10181,17;54,016;736,664;1,134;140,448;1,5;77,01;0,759
Ecuador;15/11/2020;10219,032;37,862;737,287;0,623;140,448;1,5;77,01;0,759
Ecuador;16/11/2020;10240,627;21,595;737,741;0,453;140,448;1,5;77,01;0,759
Ecuador;17/11/2020;10264,886;24,259;738,251;0,51;140,448;1,5;77,01;0,759
Ecuador;18/11/2020;10329,841;64,955;739,781;1,53;140,448;1,5;77,01;0,759
Ecuador;19/11/2020;10386,294;56,453;740,971;1,19;140,448;1,5;77,01;0,759
Ecuador;20/11/2020;10419,961;33,668;742,218;1,247;140,448;1,5;77,01;0,759
Ecuador;21/11/2020;10478,681;58,72;744,712;2,494;140,448;1,5;77,01;0,759
Ecuador;22/11/2020;10522,154;43,473;748,226;3,514;140,448;1,5;77,01;0,759
Ecuador;23/11/2020;10539,215;17,061;749,587;1,36;140,448;1,5;77,01;0,759
Ecuador;24/11/2020;10567,101;27,886;751,797;2,211;140,448;1,5;77,01;0,759
Ecuador;25/11/2020;10612,105;45,004;753,157;1,36;140,448;1,5;77,01;0,759
Ecuador;26/11/2020;10663,57;51,465;754,744;1,587;140,448;1,5;77,01;0,759
Ecuador;27/11/2020;10742,694;79,125;757,125;2,381;140,448;1,5;77,01;0,759
Ecuador;28/11/2020;10820,629;77,934;757,862;0,737;140,448;1,5;77,01;0,759
Ecuador;29/11/2020;10889,097;68,469;760,809;2,947;140,448;1,5;77,01;0,759
Ecuador;30/11/2020;10921,291;32,194;762,963;2,154;140,448;1,5;77,01;0,759
Ecuador;01/12/2020;10977,291;55,999;765,23;2,267;140,448;1,5;77,01;0,759
Ecuador;02/12/2020;11045,476;68,185;768,688;3,457;140,448;1,5;77,01;0,759
Ecuador;03/12/2020;11102,609;57,133;771,521;2,834;140,448;1,5;77,01;0,759
Ecuador;04/12/2020;11136,504;33,894;776,283;4,761;140,448;1,5;77,01;0,759
Ecuador;05/12/2020;11188,025;51,522;779,683;3,401;140,448;1,5;77,01;0,759
Ecuador;06/12/2020;11222,43;34,404;780,93;1,247;140,448;1,5;77,01;0,759
Ecuador;07/12/2020;11236,373;13,943;781,044;0,113;140,448;1,5;77,01;0,759
Ecuador;08/12/2020;11265,166;28,793;781,837;0,794;140,448;1,5;77,01;0,759
Ecuador;09/12/2020;11292,145;26,979;782,971;1,134;140,448;1,5;77,01;0,759
Ecuador;10/12/2020;11357,384;65,238;785,011;2,04;140,448;1,5;77,01;0,759
Ecuador;11/12/2020;11379,262;21,878;785,465;0,453;140,448;1,5;77,01;0,759
Ecuador;12/12/2020;11422,282;43,02;786,372;0,907;140,448;1,5;77,01;0,759
Ecuador;13/12/2020;11455,496;33,214;786,428;0,057;140,448;1,5;77,01;0,759
Ecuador;14/12/2020;11459,463;3,968;786,428;0;140,448;1,5;77,01;0,759
Ecuador;15/12/2020;11469,439;9,976;787,618;1,19;140,448;1,5;77,01;0,759
Ecuador;16/12/2020;11532,07;62,631;788,695;1,077;140,448;1,5;77,01;0,759
Ecuador;17/12/2020;11576,733;44,663;789,659;0,964;140,448;1,5;77,01;0,759
Ecuador;18/12/2020;11619,47;42,736;790,226;0,567;140,448;1,5;77,01;0,759
Ecuador;19/12/2020;11671,445;51,975;790,566;0,34;140,448;1,5;77,01;0,759
Ecuador;20/12/2020;11690,546;19,101;790,566;0;140,448;1,5;77,01;0,759
Ecuador;21/12/2020;11694,627;4,081;790,622;0,057;140,448;1,5;77,01;0,759
Ecuador;22/12/2020;11696,61;1,984;790,622;0;140,448;1,5;77,01;0,759
Ecuador;23/12/2020;11737,42;40,809;791,359;0,737;140,448;1,5;77,01;0,759
Ecuador;24/12/2020;11789,905;52,485;792,21;0,85;140,448;1,5;77,01;0,759
Ecuador;25/12/2020;11836,269;46,364;792,606;0,397;140,448;1,5;77,01;0,759
Ecuador;26/12/2020;11861,548;25,279;792,946;0,34;140,448;1,5;77,01;0,759
Ecuador;27/12/2020;11866,139;4,591;793,06;0,113;140,448;1,5;77,01;0,759
Ecuador;28/12/2020;11888,981;22,842;793,173;0,113;140,448;1,5;77,01;0,759
Ecuador;29/12/2020;11921,175;32,194;793,57;0,397;140,448;1,5;77,01;0,759
Ecuador;30/12/2020;11988,397;67,222;794,817;1,247;140,448;1,5;77,01;0,759
Ecuador;31/12/2020;12045,076;56,68;795,44;0,623;140,448;1,5;77,01;0,759
Ecuador;01/01/2021;12094,161;49,084;796,404;0,964;140,448;1,5;77,01;0,759
Ecuador;02/01/2021;12158,492;64,331;796,857;0,453;140,448;1,5;77,01;0,759
Ecuador;03/01/2021;12164,216;5,725;796,857;0;140,448;1,5;77,01;0,759
Ecuador;04/01/2021;12190,629;26,413;797,424;0,567;140,448;1,5;77,01;0,759
Ecuador;05/01/2021;12247,479;56,85;799,351;1,927;140,448;1,5;77,01;0,759
Ecuador;06/01/2021;12320,822;73,343;801,788;2,437;140,448;1,5;77,01;0,759
Ecuador;07/01/2021;12377,955;57,133;802,469;0,68;140,448;1,5;77,01;0,759
Ecuador;08/01/2021;12421,201;43,246;802,865;0,397;140,448;1,5;77,01;0,759
Ecuador;09/01/2021;12489,273;68,072;803,545;0,68;140,448;1,5;77,01;0,759
Ecuador;10/01/2021;12530,139;40,866;803,545;0;140,448;1,5;77,01;0,759
Ecuador;11/01/2021;12554,852;24,712;803,942;0,397;140,448;1,5;77,01;0,759
Ecuador;12/01/2021;12614,989;60,137;804,622;0,68;140,448;1,5;77,01;0,759
Ecuador;13/01/2021;12714,064;99,076;806,493;1,87;140,448;1,5;77,01;0,759
Ecuador;14/01/2021;12809,683;95,618;807,456;0,964;140,448;1,5;77,01;0,759
Ecuador;15/01/2021;12858,654;48,971;808,987;1,53;140,448;1,5;77,01;0,759
Ecuador;16/01/2021;13082,084;223,431;811,424;2,437;140,448;1,5;77,01;0,759
Ecuador;17/01/2021;13120,286;38,202;811,594;0,17;140,448;1,5;77,01;0,759
Ecuador;18/01/2021;13129,468;9,182;811,764;0,17;140,448;1,5;77,01;0,759
Ecuador;19/01/2021;13181,84;52,372;815,165;3,401;140,448;1,5;77,01;0,759
Ecuador;20/01/2021;13280,859;99,019;818,282;3,117;140,448;1,5;77,01;0,759
Ecuador;21/01/2021;13387,077;106,217;823,327;5,044;140,448;1,5;77,01;0,759
Ecuador;22/01/2021;13441,999;54,922;825,367;2,04;140,448;1,5;77,01;0,759
Ecuador;23/01/2021;13502,873;60,874;827,294;1,927;140,448;1,5;77,01;0,759
Ecuador;24/01/2021;13676,312;173,439;828,824;1,53;140,448;1,5;77,01;0,759
Ecuador;25/01/2021;13691,899;15,587;829,731;0,907;140,448;1,5;77,01;0,759
Ecuador;26/01/2021;13724,717;32,817;831,375;1,644;140,448;1,5;77,01;0,759
Ecuador;27/01/2021;13803,445;78,728;833,416;2,04;140,448;1,5;77,01;0,759
Ecuador;28/01/2021;13943,16;139,715;836,93;3,514;140,448;1,5;77,01;0,759
Ecuador;29/01/2021;13982,098;38,939;838,97;2,04;140,448;1,5;77,01;0,759
Ecuador;30/01/2021;14157,351;175,253;841,747;2,777;140,448;1,5;77,01;0,759
Ecuador;31/01/2021;14216,808;59,457;842,201;0,453;140,448;1,5;77,01;0,759
Ecuador;01/02/2021;14225,764;8,955;843,958;1,757;140,448;1,5;77,01;0,759
Ecuador;02/02/2021;14242,371;16,607;845,375;1,417;140,448;1,5;77,01;0,759
Ecuador;03/02/2021;14305,342;62,971;847,302;1,927;140,448;1,5;77,01;0,759
Ecuador;04/02/2021;14359,13;53,789;848,379;1,077;140,448;1,5;77,01;0,759
Ecuador;05/02/2021;14476,627;117,497;849,172;0,794;140,448;1,5;77,01;0,759
Ecuador;06/02/2021;14573,152;96,525;850,419;1,247;140,448;1,5;77,01;0,759
Ecuador;07/02/2021;14639,297;66,145;850,873;0,453;140,448;1,5;77,01;0,759
Ecuador;08/02/2021;14657,718;18,421;850,929;0,057;140,448;1,5;77,01;0,759
Ecuador;09/02/2021;14724,373;66,655;855,067;4,138;140,448;1,5;77,01;0,759
Ecuador;10/02/2021;14740,98;16,607;856,767;1,7;140,448;1,5;77,01;0,759
Ecuador;11/02/2021;14862,104;121,124;860,055;3,287;140,448;1,5;77,01;0,759
Ecuador;12/02/2021;14936,015;73,91;862,662;2,607;140,448;1,5;77,01;0,759
Ecuador;13/02/2021;15049,94;113,926;865,439;2,777;140,448;1,5;77,01;0,759
Ecuador;14/02/2021;15146,069;96,128;868,387;2,947;140,448;1,5;77,01;0,759
Ecuador;15/02/2021;15173,162;27,093;870,314;1,927;140,448;1,5;77,01;0,759
Ecuador;16/02/2021;15194,246;21,085;872,411;2,097;140,448;1,5;77,01;0,759
Ecuador;17/02/2021;15202,522;8,275;872,524;0,113;140,448;1,5;77,01;0,759
Ecuador;18/02/2021;15295,533;93,011;875,358;2,834;140,448;1,5;77,01;0,759
Ecuador;19/02/2021;15375,791;80,258;877,059;1,7;140,448;1,5;77,01;0,759
Ecuador;20/02/2021;15479,004;103,213;879,269;2,211;140,448;1,5;77,01;0,759
Ecuador;21/02/2021;15568,331;89,327;880,573;1,304;140,448;1,5;77,01;0,759
Ecuador;22/02/2021;15585,052;16,72;881,196;0,623;140,448;1,5;77,01;0,759
Ecuador;23/02/2021;15631,075;46,024;882,33;1,134;140,448;1,5;77,01;0,759
Ecuador;24/02/2021;15801,057;169,982;886,127;3,798;140,448;1,5;77,01;0,759
Ecuador;25/02/2021;15936,521;135,464;888,111;1,984;140,448;1,5;77,01;0,759
Ecuador;26/02/2021;16017,573;81,052;890,605;2,494;140,448;1,5;77,01;0,759
Ecuador;27/02/2021;16116,649;99,076;894,346;3,741;140,448;1,5;77,01;0,759
Ecuador;28/02/2021;16219,125;102,477;896,16;1,814;140,448;1,5;77,01;0,759
Ecuador;01/03/2021;16231,141;12,016;897,35;1,19;140,448;1,5;77,01;0,759
Ecuador;02/03/2021;16251,433;20,291;898,37;1,02;140,448;1,5;77,01;0,759
Ecuador;03/03/2021;16407,131;155,699;902,394;4,024;140,448;1,5;77,01;0,759
Ecuador;04/03/2021;16422,038;14,907;904,548;2,154;140,448;1,5;77,01;0,759
Ecuador;05/03/2021;16497,705;75,667;906,702;2,154;140,448;1,5;77,01;0,759
Ecuador;06/03/2021;16603,866;106,161;908,006;1,304;140,448;1,5;77,01;0,759
Ecuador;07/03/2021;16692,286;88,42;909,083;1,077;140,448;1,5;77,01;0,759
Ecuador;08/03/2021;16698,804;6,518;909,309;0,227;140,448;1,5;77,01;0,759
Ecuador;09/03/2021;16726,917;28,113;910,783;1,474;140,448;1,5;77,01;0,759
Ecuador;10/03/2021;16824,803;97,886;912,824;2,04;140,448;1,5;77,01;0,759
Ecuador;11/03/2021;16888,057;63,254;914,127;1,304;140,448;1,5;77,01;0,759
Ecuador;12/03/2021;16959,416;71,36;917,811;3,684;140,448;1,5;77,01;0,759
Ecuador;13/03/2021;17041,602;82,185;919,058;1,247;140,448;1,5;77,01;0,759
Ecuador;14/03/2021;17129,738;88,137;920,249;1,19;140,448;1,5;77,01;0,759
Ecuador;15/03/2021;17145,438;15,7;920,475;0,227;140,448;1,5;77,01;0,759
Ecuador;16/03/2021;17165,616;20,178;921,552;1,077;140,448;1,5;77,01;0,759
Ecuador;17/03/2021;17321,145;155,529;923,876;2,324;140,448;1,5;77,01;0,759
Ecuador;18/03/2021;17424,925;103,78;925,746;1,87;140,448;1,5;77,01;0,759
Ecuador;19/03/2021;17550,414;125,488;930,224;4,478;140,448;1,5;77,01;0,759
Ecuador;20/03/2021;17619,846;69,432;931,528;1,304;140,448;1,5;77,01;0,759
Ecuador;21/03/2021;17717,902;98,056;932,435;0,907;140,448;1,5;77,01;0,759
Ecuador;22/03/2021;17732,241;14,34;933,965;1,53;140,448;1,5;77,01;0,759
Ecuador;23/03/2021;17772,994;40,753;935,439;1,474;140,448;1,5;77,01;0,759
Ecuador;24/03/2021;17956,466;183,472;937,479;2,04;140,448;1,5;77,01;0,759
Ecuador;25/03/2021;18061,266;104,8;939,86;2,381;140,448;1,5;77,01;0,759
Ecuador;26/03/2021;18219,685;158,419;942,694;2,834;140,448;1,5;77,01;0,759
Ecuador;27/03/2021;18290,421;70,736;945,358;2,664;140,448;1,5;77,01;0,759
Ecuador;28/03/2021;18391,481;101,06;948,702;3,344;140,448;1,5;77,01;0,759
Ecuador;29/03/2021;18427,869;36,388;949,155;0,453;140,448;1,5;77,01;0,759
Ecuador;30/03/2021;18552,621;124,752;951,082;1,927;140,448;1,5;77,01;0,759
Ecuador;31/03/2021;18633,672;81,052;954,88;3,798;140,448;1,5;77,01;0,759
Ecuador;01/04/2021;18726,23;92,558;956,58;1,7;140,448;1,5;77,01;0,759
Ecuador;02/04/2021;18819,751;93,521;958,451;1,87;140,448;1,5;77,01;0,759
Ecuador;03/04/2021;18884,196;64,445;959,527;1,077;140,448;1,5;77,01;0,759
Ecuador;04/04/2021;19026,235;142,039;961,058;1,53;140,448;1,5;77,01;0,759
Ecuador;05/04/2021;19088,355;62,121;962,815;1,757;140,448;1,5;77,01;0,759
Ecuador;06/04/2021;19140,784;52,429;963,778;0,964;140,448;1,5;77,01;0,759
Ecuador;07/04/2021;19248,588;107,804;966,782;3,004;140,448;1,5;77,01;0,759
Ecuador;08/04/2021;19362,798;114,209;970,07;3,287;140,448;1,5;77,01;0,759
Ecuador;09/04/2021;19422,821;60,024;972,507;2,437;140,448;1,5;77,01;0,759
Ecuador;10/04/2021;19547,459;124,638;979,139;6,632;140,448;1,5;77,01;0,759
Ecuador;11/04/2021;19657,418;109,958;980,159;1,02;140,448;1,5;77,01;0,759
Ecuador;12/04/2021;19671,758;14,34;980,442;0,283;140,448;1,5;77,01;0,759
Ecuador;13/04/2021;19701,174;29,417;983,446;3,004;140,448;1,5;77,01;0,759
Ecuador;14/04/2021;19868,379;167,205;986,223;2,777;140,448;1,5;77,01;0,759
Ecuador;15/04/2021;20145,655;277,276;991,268;5,044;140,448;1,5;77,01;0,759
Ecuador;16/04/2021;20175,865;30,21;993,478;2,211;140,448;1,5;77,01;0,759
Ecuador;17/04/2021;20300,163;124,298;999,883;6,405;140,448;1,5;77,01;0,759
Ecuador;18/04/2021;20435,571;135,407;1003,397;3,514;140,448;1,5;77,01;0,759
Ecuador;19/04/2021;20436,534;0,964;1003,397;0;140,448;1,5;77,01;0,759
Ecuador;20/04/2021;20470,032;33,498;1005,721;2,324;140,448;1,5;77,01;0,759
Ecuador;21/04/2021;20565,764;95,732;1009,122;3,401;140,448;1,5;77,01;0,759
Ecuador;22/04/2021;20710,296;144,533;1018,247;9,125;140,448;1,5;77,01;0,759
Ecuador;23/04/2021;21045,442;335,146;1023,745;5,498;140,448;1,5;77,01;0,759
Ecuador;24/04/2021;21127,514;82,072;1029,187;5,441;140,448;1,5;77,01;0,759
Ecuador;25/04/2021;21161,975;34,461;1030,263;1,077;140,448;1,5;77,01;0,759
Ecuador;26/04/2021;21242,063;80,088;1037,235;6,972;140,448;1,5;77,01;0,759
Ecuador;27/04/2021;21273,464;31,4;1042,28;5,044;140,448;1,5;77,01;0,759
Ecuador;28/04/2021;21405,697;132,233;1046,871;4,591;140,448;1,5;77,01;0,759
Ecuador;29/04/2021;21577,266;171,569;1051,518;4,648;140,448;1,5;77,01;0,759
Ecuador;30/04/2021;21643,751;66,485;1055,996;4,478;140,448;1,5;77,01;0,759
Ecuador;01/05/2021;21798,316;154,565;1061,267;5,271;140,448;1,5;77,01;0,759
Ecuador;02/05/2021;21951,918;153,601;1062,174;0,907;140,448;1,5;77,01;0,759
Ecuador;03/05/2021;21994,257;42,34;1063,591;1,417;140,448;1,5;77,01;0,759
Ecuador;04/05/2021;22175,405;181,148;1069,146;5,555;140,448;1,5;77,01;0,759
Ecuador;05/05/2021;22277,768;102,363;1071,64;2,494;140,448;1,5;77,01;0,759
Ecuador;06/05/2021;22406,941;129,173;1077,931;6,291;140,448;1,5;77,01;0,759
Ecuador;07/05/2021;22495,417;88,477;1080,368;2,437;140,448;1,5;77,01;0,759
Ecuador;08/05/2021;22610,647;115,229;1084,676;4,308;140,448;1,5;77,01;0,759
Ecuador;09/05/2021;22688,581;77,934;1089,494;4,818;140,448;1,5;77,01;0,759
Ecuador;10/05/2021;22788,564;99,983;1090,627;1,134;140,448;1,5;77,01;0,759
Ecuador;11/05/2021;22818,887;30,324;1093,121;2,494;140,448;1,5;77,01;0,759
Ecuador;12/05/2021;22934,344;115,456;1096,692;3,571;140,448;1,5;77,01;0,759
Ecuador;13/05/2021;22999,582;65,238;1101,963;5,271;140,448;1,5;77,01;0,759
Ecuador;14/05/2021;23068,674;69,092;1106,044;4,081;140,448;1,5;77,01;0,759
Ecuador;15/05/2021;23211,393;142,719;1116,133;10,089;140,448;1,5;77,01;0,759
Ecuador;16/05/2021;23245,911;34,518;1116,53;0,397;140,448;1,5;77,01;0,759
Ecuador;17/05/2021;23287,91;42;1121,461;4,931;140,448;1,5;77,01;0,759
Ecuador;18/05/2021;23321,691;33,781;1126,619;5,158;140,448;1,5;77,01;0,759
Ecuador;19/05/2021;23403,367;81,675;1132,4;5,781;140,448;1,5;77,01;0,759
Ecuador;20/05/2021;23536,45;133,083;1134,837;2,437;140,448;1,5;77,01;0,759
Ecuador;21/05/2021;23613,874;77,424;1139,655;4,818;140,448;1,5;77,01;0,759
Ecuador;22/05/2021;23682,967;69,092;1143,793;4,138;140,448;1,5;77,01;0,759
Ecuador;23/05/2021;23740,27;57,303;1144,529;0,737;140,448;1,5;77,01;0,759
Ecuador;24/05/2021;23759,937;19,668;1145,493;0,964;140,448;1,5;77,01;0,759
Ecuador;25/05/2021;23814,86;54,922;1146,456;0,964;140,448;1,5;77,01;0,759
Ecuador;26/05/2021;23875,167;60,307;1151,274;4,818;140,448;1,5;77,01;0,759
Ecuador;27/05/2021;23937,401;62,234;1153,825;2,551;140,448;1,5;77,01;0,759
Ecuador;28/05/2021;23984,785;47,384;1156,715;2,891;140,448;1,5;77,01;0,759
Ecuador;29/05/2021;24074,112;89,327;1161,08;4,364;140,448;1,5;77,01;0,759
Ecuador;30/05/2021;24136,459;62,347;1164,481;3,401;140,448;1,5;77,01;0,759
Ecuador;31/05/2021;24147,569;11,109;1166,011;1,53;140,448;1,5;77,01;0,759
Ecuador;01/06/2021;24241,26;93,691;1168,732;2,721;140,448;1,5;77,01;0,759
Ecuador;02/06/2021;24307,858;66,598;1172,189;3,457;140,448;1,5;77,01;0,759
Ecuador;03/06/2021;24361,817;53,959;1173,606;1,417;140,448;1,5;77,01;0,759
Ecuador;04/06/2021;24414,076;52,259;1176,383;2,777;140,448;1,5;77,01;0,759
Ecuador;05/06/2021;24453,184;39,109;1177,403;1,02;140,448;1,5;77,01;0,759
Ecuador;06/06/2021;24505,556;52,372;1179,444;2,04;140,448;1,5;77,01;0,759
Ecuador;07/06/2021;24527,435;21,878;1179,727;0,283;140,448;1,5;77,01;0,759
Peru;06/03/2020;0,03;0,03;0,03;0,03;85,755;1,6;76,74;0,777
Peru;07/03/2020;0,03;0;0,03;0;85,755;1,6;76,74;0,777
Peru;08/03/2020;0,182;0,152;0,061;0,03;85,755;1,6;76,74;0,777
Peru;09/03/2020;0,212;0,03;0,061;0;85,755;1,6;76,74;0,777
Peru;10/03/2020;0,334;0,121;0,061;0;85,755;1,6;76,74;0,777
Peru;11/03/2020;0,334;0;0,061;0;85,755;1,6;76,74;0,777
Peru;12/03/2020;0,455;0,121;0,091;0,03;85,755;1,6;76,74;0,777
Peru;13/03/2020;0,849;0,394;0,091;0;85,755;1,6;76,74;0,777
Peru;14/03/2020;1,152;0,303;0,091;0;85,755;1,6;76,74;0,777
Peru;15/03/2020;1,304;0,152;0,152;0,061;85,755;1,6;76,74;0,777
Peru;16/03/2020;2,608;1,304;0,152;0;85,755;1,6;76,74;0,777
Peru;17/03/2020;3,548;0,94;0,273;0,121;85,755;1,6;76,74;0,777
Peru;18/03/2020;4,398;0,849;0,455;0,182;85,755;1,6;76,74;0,777
Peru;19/03/2020;7,097;2,699;0,607;0,152;85,755;1,6;76,74;0,777
Peru;20/03/2020;7,097;0;0,789;0,182;85,755;1,6;76,74;0,777
Peru;21/03/2020;9,645;2,548;0,91;0,121;85,755;1,6;76,74;0,777
Peru;22/03/2020;11,009;1,365;1,031;0,121;85,755;1,6;76,74;0,777
Peru;23/03/2020;11,98;0,971;1,183;0,152;85,755;1,6;76,74;0,777
Peru;24/03/2020;12,617;0,637;1,365;0,182;85,755;1,6;76,74;0,777
Peru;25/03/2020;14,558;1,941;1,729;0,364;85,755;1,6;76,74;0,777
Peru;26/03/2020;17,591;3,033;1,911;0,182;85,755;1,6;76,74;0,777
Peru;27/03/2020;19,259;1,668;2,153;0,243;85,755;1,6;76,74;0,777
Peru;28/03/2020;20,351;1,092;2,608;0,455;85,755;1,6;76,74;0,777
Peru;29/03/2020;25,84;5,49;2,881;0,273;85,755;1,6;76,74;0,777
Peru;30/03/2020;28,812;2,972;3,427;0,546;85,755;1,6;76,74;0,777
Peru;31/03/2020;32,3;3,488;4,185;0,758;85,755;1,6;76,74;0,777
Peru;01/04/2020;40,125;7,825;4,883;0,698;85,755;1,6;76,74;0,777
Peru;02/04/2020;42,885;2,76;5,55;0,667;85,755;1,6;76,74;0,777
Peru;03/04/2020;48,375;5,49;6,339;0,789;85,755;1,6;76,74;0,777
Peru;04/04/2020;52,954;4,58;7,825;1,486;85,755;1,6;76,74;0,777
Peru;05/04/2020;69,18;16,226;9,614;1,789;85,755;1,6;76,74;0,777
Peru;06/04/2020;77,672;8,492;10,918;1,304;85,755;1,6;76,74;0,777
Peru;07/04/2020;89,592;11,919;12,829;1,911;85,755;1,6;76,74;0,777
Peru;08/04/2020;131,688;42,097;14,285;1,456;85,755;1,6;76,74;0,777
Peru;09/04/2020;159,409;27,721;17,257;2,972;85,755;1,6;76,74;0,777
Peru;10/04/2020;178,85;19,441;19,714;2,457;85,755;1,6;76,74;0,777
Peru;11/04/2020;207,692;28,843;22,838;3,124;85,755;1,6;76,74;0,777
Peru;12/04/2020;228,043;20,351;25,658;2,821;85,755;1,6;76,74;0,777
Peru;13/04/2020;296,738;68,695;28,873;3,215;85,755;1,6;76,74;0,777
Peru;14/04/2020;312,479;15,741;32,179;3,306;85,755;1,6;76,74;0,777
Peru;15/04/2020;348,024;35,545;36,395;4,216;85,755;1,6;76,74;0,777
Peru;16/04/2020;378,838;30,814;40,428;4,034;85,755;1,6;76,74;0,777
Peru;17/04/2020;409,107;30,268;45,19;4,762;85,755;1,6;76,74;0,777
Peru;18/04/2020;437,343;28,236;49,375;4,185;85,755;1,6;76,74;0,777
Peru;19/04/2020;473,98;36,637;54,167;4,792;85,755;1,6;76,74;0,777
Peru;20/04/2020;495,119;21,139;60,355;6,187;85,755;1,6;76,74;0,777
Peru;21/04/2020;540,977;45,857;66,693;6,339;85,755;1,6;76,74;0,777
Peru;22/04/2020;583,831;42,855;73,335;6,642;85,755;1,6;76,74;0,777
Peru;23/04/2020;634,299;50,467;80,796;7,461;85,755;1,6;76,74;0,777
Peru;24/04/2020;656,56;22,261;88,257;7,461;85,755;1,6;76,74;0,777
Peru;25/04/2020;768,262;111,701;96,992;8,735;85,755;1,6;76,74;0,777
Peru;26/04/2020;834,56;66,299;105,787;8,795;85,755;1,6;76,74;0,777
Peru;27/04/2020;870,409;35,849;115,038;9,25;85,755;1,6;76,74;0,777
Peru;28/04/2020;945,959;75,549;124,53;9,493;85,755;1,6;76,74;0,777
Peru;29/04/2020;1029,09;83,132;134,964;10,433;85,755;1,6;76,74;0,777
Peru;30/04/2020;1121,442;92,352;145,033;10,069;85,755;1,6;76,74;0,777
Peru;01/05/2020;1227,077;105,636;157,134;12,101;85,755;1,6;76,74;0,777
Peru;02/05/2020;1290,01;62,932;169,508;12,374;85,755;1,6;76,74;0,777
Peru;03/05/2020;1392,946;102,936;182,095;12,586;85,755;1,6;76,74;0,777
Peru;04/05/2020;1436,741;43,795;195,379;13,284;85,755;1,6;76,74;0,777
Peru;05/05/2020;1552,506;115,765;208,39;13,011;85,755;1,6;76,74;0,777
Peru;06/05/2020;1662,54;110,033;222,25;13,86;85,755;1,6;76,74;0,777
Peru;07/05/2020;1775,03;112,49;236,838;14,588;85,755;1,6;76,74;0,777
Peru;08/05/2020;1875,752;100,722;250,608;13,769;85,755;1,6;76,74;0,777
Peru;09/05/2020;1971,834;96,082;265,075;14,467;85,755;1,6;76,74;0,777
Peru;10/05/2020;2041,348;69,514;280,785;15,71;85,755;1,6;76,74;0,777
